age,monthly_income,loan_amount,loan_term,dti,credit_history,num_dependents,name,job,city,default
59,7579,46283,60,0.5780721020124125,6,2,Ahmad 0,Project Manager,Cyberjaya,1
49,4477,16790,60,0.9579793532488906,1,1,John 1,CEO,Muar,1
35,5240,13205,12,0.503072600271609,2,5,Ahmad 2,Pharmacist,Batu Pahat,1
63,2942,25338,12,0.08291458139448116,1,1,John 3,Financial Advisor,Port Dickson,1
28,2443,13748,12,0.6200013334774084,4,5,Ahmad 4,Social Media Manager,Bentong,1
41,1712,22097,60,0.34022299445125703,6,5,John 5,Operations Manager,Batu Pahat,1
59,3229,4092,24,0.8559251895912978,9,0,Ahmad 6,Factory Worker,Sitiawan,1
39,8105,23692,12,0.4346781483164702,9,2,John 7,Social Media Manager,Sandakan,1
43,1894,24862,48,0.1928396089422456,0,5,Ahmad 8,Electrician,Port Dickson,1
31,4392,25860,60,0.19110562269114495,9,2,John 9,Pharmacist,Kulim,1
31,2413,14971,36,0.7687641807211604,8,5,Ahmad 10,Project Manager,Raub,1
44,3798,15616,36,0.2655875983073599,0,2,John 11,Customer Service Representative,Subang Jaya,1
56,5339,5933,48,0.767233394159223,0,1,Ahmad 12,Technician,Ipoh,0
60,3599,5926,24,0.20588731076659939,9,0,John 13,CEO,Bintulu,1
44,7179,26763,12,0.3216863687013094,7,5,Ahmad 14,Civil Engineer,Sandakan,1
23,8067,4969,60,0.4654869724396994,5,3,John 15,Director,Kuala Kangsar,1
42,1700,36733,12,0.9431958496934507,5,2,Ahmad 16,Dentist,Cyberjaya,1
22,3634,5319,60,0.9317314247538246,8,2,John 17,Director,Johor Bahru,1
44,5118,42743,36,0.2068718754222878,3,3,Ahmad 18,Electrician,Bukit Mertajam,1
64,7252,40876,12,0.3582190412430728,7,0,John 19,Human Resources Manager,Mersing,1
50,4091,42909,48,0.14939938845377232,3,2,Ahmad 20,Police Officer,Tanah Merah,1
58,4960,21323,24,0.5099850793134971,1,0,John 21,Police Officer,Seremban,1
22,2686,17428,48,0.4605825506946666,7,2,Ahmad 22,Marketing Manager,Kuala Kangsar,1
41,1934,35578,24,0.9007601624507324,6,4,John 23,Director,Taiping,1
53,7890,21950,12,0.9300053777910726,3,2,Ahmad 24,Human Resources Manager,Temerloh,1
32,1700,44041,12,0.3835673910072921,8,4,John 25,Technician,Kuala Kangsar,1
42,9657,42789,24,0.49173794301898943,8,5,Ahmad 26,Civil Engineer,Johor Bahru,1
64,6450,19293,36,0.8962362491461331,7,0,John 27,Civil Engineer,Bintulu,1
45,6359,7364,60,0.8067078077450615,0,2,Ahmad 28,Nurse,Rawang,1
47,6150,36349,48,0.0036563113446492768,6,1,John 29,Software Engineer,Kuala Kangsar,1
62,4494,1691,48,0.3200595641835825,4,1,Ahmad 30,Police Officer,Pasir Gudang,0
48,5784,31062,48,0.4217742419361259,6,3,John 31,Project Manager,Bentong,1
36,4622,1931,12,0.22971628368323171,8,1,Ahmad 32,Mechanic,Cyberjaya,0
35,6106,46896,48,0.19957161589593875,1,4,John 33,CEO,Kulim,1
64,4932,32730,60,0.03778450659567967,3,1,Ahmad 34,Mechanical Engineer,Sibu,1
23,3099,15226,60,0.6433697250697605,3,1,John 35,Marketing Manager,Muar,1
57,3258,14861,24,0.26251029048316565,1,1,Ahmad 36,Real Estate Agent,Segamat,1
27,3031,32301,12,0.05234717843131309,2,2,John 37,Delivery Rider,Bayan Lepas,1
41,6941,49243,60,0.23097931052806364,7,3,Ahmad 38,Operations Manager,Johor Bahru,1
29,3765,23766,36,0.8019139528361265,8,0,John 39,Waiter,Sepang,1
59,1700,37174,12,0.8514891816465466,5,3,Ahmad 40,Waiter,Nibong Tebal,1
38,5793,42107,12,0.48306624519330266,9,4,John 41,CEO,Klang,1
24,8029,18695,60,0.41607067040868617,1,2,Ahmad 42,Architect,Sungai Petani,1
45,6546,42347,36,0.9778536935017818,1,5,John 43,Waiter,Nilai,1
34,3793,4121,24,0.2005646595880699,6,2,Ahmad 44,Content Creator,Kampar,0
29,1826,19257,60,0.21535928285460848,7,1,John 45,Accountant,Kota Tinggi,1
46,4731,29164,36,0.29186717703639975,7,1,Ahmad 46,Human Resources Manager,Segamat,1
22,4681,26491,12,0.1727573182810873,5,4,John 47,Mechanical Engineer,Keningau,1
40,3061,24165,36,0.3793655982041866,9,5,Ahmad 48,Financial Advisor,Kota Tinggi,1
48,6102,49714,12,0.9108342269897538,7,2,John 49,Real Estate Agent,Taiping,1
27,8693,4748,60,0.6153478406285743,0,5,Ahmad 50,Waiter,Langkawi,0
64,5444,34045,60,0.41194654861226365,8,0,John 51,Police Officer,Puchong,1
28,5320,27553,48,0.9344107945712148,0,3,Ahmad 52,Project Manager,Semporna,1
55,3125,45331,48,0.04846423247582232,2,2,John 53,Plumber,Kuching,1
34,7794,31497,48,0.21027617790186137,8,5,Ahmad 54,CEO,Kapit,1
37,4849,32308,60,0.565888605101759,4,0,John 55,Chef,Melaka City,1
56,3842,40560,24,0.6155526231931792,8,0,Ahmad 56,Clerk,Bintulu,1
60,5127,47686,60,0.03955750656261314,8,3,John 57,Sales Executive,Kuching,1
24,5943,11374,36,0.4030387579071322,5,0,Ahmad 58,Accountant,Melaka City,1
22,5278,5675,60,0.6491539648308727,0,4,John 59,Mechanic,Keningau,1
26,7412,2170,60,0.6980705464034016,9,0,Ahmad 60,Software Engineer,Seremban,0
62,5767,42449,12,0.6381399025162693,6,5,John 61,Mechanic,Tawau,1
24,4432,44485,12,0.32056322436092455,5,4,Ahmad 62,Data Scientist,Nilai,1
49,5802,13450,12,0.09352012359790951,8,0,John 63,Real Estate Agent,Iskandar Puteri,1
38,5999,11680,60,0.4271124464193341,6,1,Ahmad 64,Project Manager,Lahad Datu,1
46,2407,11068,24,0.12875443736805547,3,0,John 65,Journalist,Sri Aman,1
64,7298,36230,36,0.9476236585206671,6,4,Ahmad 66,Real Estate Agent,Jasin,1
54,4398,47418,36,0.47517086602262826,1,0,John 67,Plumber,Tawau,1
30,4449,27206,24,0.31725917435686757,5,0,Ahmad 68,Factory Worker,Mentakab,1
56,6502,1287,24,0.7663040711189001,5,0,John 69,Doctor,Ampang,0
34,6494,23337,36,0.49794859258226387,1,4,Ahmad 70,Plumber,Putrajaya,1
51,3598,21666,48,0.31003402401245006,3,0,John 71,Electrician,Klang,1
35,6605,2161,12,0.8119677423908017,7,3,Ahmad 72,Receptionist,Alor Gajah,1
28,3879,36131,12,0.867152151001122,7,5,John 73,Editor,Puchong,1
34,8639,25535,36,0.673008166288677,7,3,Ahmad 74,Pharmacist,Muar,1
43,3343,33528,24,0.046964422407667294,7,4,John 75,Human Resources Manager,Bukit Mertajam,1
60,5478,39751,48,0.5663228801665321,0,1,Ahmad 76,Technician,Kuching,1
41,3435,17527,36,0.7632949119972816,1,3,John 77,Architect,Semporna,1
36,9445,41975,12,0.13650301208358218,3,5,Ahmad 78,Grab Driver,Chukai,1
38,2524,24853,60,0.22867075138460335,8,2,John 79,Teacher,Miri,1
44,6048,15758,24,0.8824951050681364,2,5,Ahmad 80,Customer Service Representative,Kuala Kangsar,1
46,3530,1244,60,0.020121721853074037,5,3,John 81,CEO,Semporna,0
45,4291,4178,36,0.752727137825976,6,2,Ahmad 82,Mechanic,Teluk Intan,1
61,5907,32831,12,0.4737732925144229,7,4,John 83,Electrician,Semporna,1
49,7449,3176,48,0.44677215883960686,6,5,Ahmad 84,Software Engineer,Sungai Petani,0
35,8246,38770,60,0.0070965324948871755,2,1,John 85,Journalist,Ipoh,1
21,1926,34654,48,0.8193982309664928,5,2,Ahmad 86,Waiter,Arau,1
45,5535,27627,12,0.35982490063656647,4,2,John 87,Delivery Rider,Temerloh,1
27,7918,47489,60,0.5407656313005429,9,5,Ahmad 88,Editor,Seremban,1
29,1700,45910,48,0.6773006863356594,3,3,John 89,Delivery Rider,Langkawi,1
44,5628,25881,48,0.7026295764379158,0,2,Ahmad 90,Doctor,Iskandar Puteri,1
21,4995,36422,60,0.9559800588260723,6,4,John 91,Project Manager,Port Dickson,1
64,5829,12984,12,0.5313399532366091,7,5,Ahmad 92,Doctor,Muar,1
28,3455,24776,48,0.3997195509744276,1,4,John 93,Civil Engineer,Kluang,1
44,2128,18755,36,0.9537036264917079,6,5,Ahmad 94,Graphic Designer,Ipoh,1
31,1700,8135,60,0.6421102350255211,5,4,John 95,Electrician,Kapit,1
37,6952,1320,24,0.2981503562765556,4,3,Ahmad 96,Journalist,Iskandar Puteri,0
28,7208,38422,24,0.12646424540357115,3,5,John 97,Journalist,Mentakab,1
55,5605,29635,12,0.8425545014651813,1,1,Ahmad 98,Architect,Mersing,1
55,3931,22684,36,0.36218160279415157,9,3,John 99,Doctor,Taiping,1
53,1753,24238,48,0.6604697213644312,5,4,Ahmad 100,Software Engineer,Lahad Datu,1
25,6126,22889,24,0.47081641936589813,4,5,John 101,Editor,Miri,1
62,2798,31313,12,0.19892977979503834,1,3,Ahmad 102,Factory Worker,Kota Bharu,1
59,3577,33535,36,0.6016866086204651,9,4,John 103,Pharmacist,Melaka City,1
61,3826,49899,36,0.06068306895068232,6,0,Ahmad 104,Plumber,Kajang,1
48,4604,11770,12,0.4133424598711922,5,0,John 105,Waiter,Temerloh,1
27,3481,40321,12,0.546614939663671,8,2,Ahmad 106,Content Creator,Iskandar Puteri,1
29,5066,21426,48,0.43604697411857907,9,1,John 107,Mechanic,Lahad Datu,1
28,3756,45327,12,0.7486721752509908,4,0,Ahmad 108,Graphic Designer,Iskandar Puteri,1
32,6402,42777,48,0.8279249545453125,8,4,John 109,Delivery Rider,Sandakan,1
54,7062,47250,48,0.771243074033178,8,3,Ahmad 110,Pharmacist,George Town,1
53,5217,8498,60,0.03881294781180211,0,5,John 111,Project Manager,Kota Tinggi,0
43,5925,40404,36,0.1941287704459722,4,3,Ahmad 112,Teacher,Raub,1
44,9235,41130,36,0.5366075092637743,8,2,John 113,Doctor,Temerloh,1
57,2654,17395,36,0.9348220404438012,6,3,Ahmad 114,Doctor,Sitiawan,1
55,2533,3537,60,0.8349567750521169,5,0,John 115,Clerk,Subang Jaya,1
64,6389,20226,48,0.8425345083518017,5,3,Ahmad 116,Civil Engineer,Johor Bahru,1
60,8893,16216,48,0.3032081937596749,6,0,John 117,Technician,Muar,1
42,4479,19613,12,0.42944789707870257,0,0,Ahmad 118,Sales Executive,Jasin,1
47,8453,4009,60,0.4707059473159374,3,1,John 119,Plumber,Puchong,0
55,5192,25368,12,0.15737158334991042,0,2,Ahmad 120,Marketing Manager,Jasin,1
21,3638,30327,60,0.031068130244456316,5,4,John 121,Customer Service Representative,Semporna,1
55,3018,15209,12,0.9469028994605169,3,0,Ahmad 122,Project Manager,Kuala Lumpur,1
57,6258,49443,24,0.24071258566350673,0,5,John 123,Director,Dungun,1
34,3170,16029,36,0.2399489037236313,8,2,Ahmad 124,Lawyer,Sitiawan,1
23,5162,3077,36,0.08337905376875954,3,4,John 125,Lawyer,Besut,0
21,8166,14907,48,0.9285077519437785,5,5,Ahmad 126,Business Analyst,Pasir Mas,1
25,4386,37635,24,0.579737114939772,6,3,John 127,Dentist,Jitra,1
46,7628,49920,36,0.6670368571253539,7,2,Ahmad 128,Customer Service Representative,Melaka City,1
34,2570,5873,48,0.9115768872630525,8,5,John 129,Human Resources Manager,Kuala Lumpur,1
59,3932,9635,24,0.3456201689007895,8,2,Ahmad 130,Business Analyst,Iskandar Puteri,1
47,2185,34065,36,0.6215073111380841,7,2,John 131,Receptionist,Nilai,1
29,5145,46863,12,0.03879945472888746,9,3,Ahmad 132,Pharmacist,Kuching,1
35,6560,42804,60,0.18677252823112933,2,3,John 133,Sales Executive,Petaling Jaya,1
35,5150,34783,24,0.8312458050899425,1,2,Ahmad 134,Customer Service Representative,Chukai,1
46,7454,35152,48,0.7667683563383357,4,5,John 135,Police Officer,Bayan Lepas,1
62,3501,42513,24,0.3506426914571469,0,1,Ahmad 136,Factory Worker,Batu Pahat,1
33,5450,30092,48,0.3768106277742125,2,0,John 137,Customer Service Representative,Ipoh,1
52,3945,18653,24,0.5335544335535795,0,3,Ahmad 138,Business Analyst,Kuala Terengganu,1
59,5723,33463,48,0.0002410046851345493,2,1,John 139,Electrician,Kuala Kangsar,1
52,6007,35028,36,0.24124433603802786,3,3,Ahmad 140,Editor,Arau,1
24,6164,41469,12,0.20823180860821444,6,2,John 141,Operations Manager,Taiping,1
50,2858,21947,36,0.25048294674976346,4,1,Ahmad 142,Electrician,Taiping,1
57,3220,30978,12,0.8059058425334413,4,5,John 143,Mechanic,Kota Tinggi,1
43,3591,23056,36,0.27967385654644317,0,5,Ahmad 144,Doctor,Mersing,1
59,4522,30007,36,0.19152132205014816,7,4,John 145,Human Resources Manager,Sri Aman,1
35,5174,44169,24,0.5042634607930315,3,0,Ahmad 146,Human Resources Manager,Bayan Lepas,1
63,6416,49287,60,0.8656450363727319,9,0,John 147,Project Manager,Ampang,1
49,3303,45632,48,0.24134970383749987,4,3,Ahmad 148,Chef,Chukai,1
56,1797,49449,48,0.0785362427927987,1,0,John 149,Mechanical Engineer,Lahad Datu,1
33,9311,6543,48,0.3564047358496647,0,4,Ahmad 150,Plumber,Pasir Gudang,0
52,2737,22067,12,0.7476518245649778,8,5,John 151,Police Officer,Kuantan,1
27,6672,46256,48,0.5506905446947946,1,1,Ahmad 152,Content Creator,Besut,1
42,5062,26097,48,0.8167933695743474,5,1,John 153,Mechanic,Nibong Tebal,1
48,5502,43847,24,0.959592147609234,0,5,Ahmad 154,Delivery Rider,Kota Bharu,1
22,4996,44512,36,0.792662476751617,0,2,John 155,Real Estate Agent,Ipoh,1
62,4230,4809,48,0.6038030788437534,8,5,Ahmad 156,Plumber,Kota Bharu,1
26,5927,23191,60,0.4933415880523805,3,1,John 157,Civil Engineer,Nibong Tebal,1
48,4122,22267,48,0.04006908634826667,8,3,Ahmad 158,Project Manager,Arau,1
48,7332,8206,12,0.9843219788140413,4,4,John 159,Factory Worker,Bentong,1
64,6136,22057,12,0.3834811225750425,6,5,Ahmad 160,Nurse,Kuching,1
64,6199,29992,12,0.1522282139168668,0,2,John 161,Social Media Manager,Petaling Jaya,1
40,3985,47514,48,0.6667088553964567,5,3,Ahmad 162,Technician,Melaka City,1
50,4527,16995,24,0.28428828909545933,7,5,John 163,Financial Advisor,Pasir Mas,1
31,2624,49803,60,0.5857782709310476,0,3,Ahmad 164,Marketing Manager,Segamat,1
48,4293,45439,48,0.5867679078445912,8,5,John 165,Technician,Petaling Jaya,1
45,2926,14210,24,0.44572982090286917,2,3,Ahmad 166,Dentist,Keningau,1
59,7626,18793,24,0.8361186155450426,0,0,John 167,Business Analyst,Pasir Gudang,1
53,5101,27270,48,0.26496706155544303,0,3,Ahmad 168,Real Estate Agent,Sungai Petani,1
21,5340,6197,48,0.44863259161773417,5,0,John 169,Factory Worker,Mentakab,1
47,4549,49321,24,0.5376921285909715,5,1,Ahmad 170,Journalist,Mentakab,1
33,5395,8452,24,0.6636247207672996,0,0,John 171,Architect,Kluang,0
61,9929,42486,24,0.7839718505055895,2,3,Ahmad 172,Director,Kuantan,1
23,4399,15859,48,0.39480728287825606,6,4,John 173,CEO,Seremban,1
59,3699,28236,24,0.646046944096596,9,4,Ahmad 174,Project Manager,Kuching,1
26,6059,32899,12,0.15061095306851913,2,1,John 175,Chef,Sandakan,1
28,1700,33083,48,0.9326481005424786,2,3,Ahmad 176,CEO,Sepang,0
47,5127,3172,12,0.38305880642100354,2,0,John 177,Dentist,Sitiawan,0
29,4256,46926,36,0.7295214219764384,6,4,Ahmad 178,Police Officer,Keningau,1
57,3015,17663,48,0.020341081882177647,3,5,John 179,Receptionist,Mentakab,1
53,6015,28540,36,0.205187142904807,3,2,Ahmad 180,Grab Driver,Pasir Gudang,1
